"Story","Title","Result","Date","Stability","Duration (s)"
"Add Class by Admin","Verify class field is enable","SUCCESS","2022-11-13T17:38:15.061+07:00[Asia/Bangkok]","0.0","13.07"
"Add Class by Admin","Input Alphabet on Add Class Field","SUCCESS","2022-11-13T17:38:29.462+07:00[Asia/Bangkok]","0.0","162.51"
"Add Class by Admin","Input Numeric on Add Class Field","SUCCESS","2022-11-13T17:41:12.004+07:00[Asia/Bangkok]","0.0","56.9"
"Add Class by Admin","Input Special Character on Add Class Field","SUCCESS","2022-11-13T19:38:19.955+07:00[Asia/Bangkok]","0.0","26.37"
"Add Class by Admin","Input valid data with minimum character allowed on Add Class Field","SUCCESS","2022-11-13T19:38:46.371+07:00[Asia/Bangkok]","0.0","6.64"
"Add Class by Admin","Input valid data with maximum character allowed on Add Class Field","SUCCESS","2022-11-13T19:38:54.215+07:00[Asia/Bangkok]","0.0","6.91"
"Delete Button Functionality","Verify pop up window shown before deleting","SUCCESS","2022-11-13T20:12:26.35+07:00[Asia/Bangkok]","0.0","45.81"
"Delete Button Functionality","Verify Cancel Delete class","SUCCESS","2022-11-13T20:13:13.212+07:00[Asia/Bangkok]","0.0","10.91"
"Delete Button Functionality","Verify deleting a class","SUCCESS","2022-11-13T20:13:25.263+07:00[Asia/Bangkok]","0.0","10.26"
"Edit Class Functionality","Verify edit class field is enable","SUCCESS","2022-11-13T20:13:35.558+07:00[Asia/Bangkok]","0.0","6.11"
"Edit Class Functionality","Verify status class field is enable","SUCCESS","2022-11-13T20:13:42.661+07:00[Asia/Bangkok]","0.0","9.78"
"Edit Class Functionality","Verify update class status to non_active","SUCCESS","2022-11-13T21:38:20.991+07:00[Asia/Bangkok]","0.0","12.28"
"Edit Class Functionality","Verify update class status to active","SUCCESS","2022-11-13T21:38:34.58+07:00[Asia/Bangkok]","0.0","12.68"
"Edit Class Functionality","Input Special Character on edit class field","SUCCESS","2022-11-13T21:39:46.942+07:00[Asia/Bangkok]","0.0","34.83"
"Edit Class Functionality","Input Alphabet on edit class field","SUCCESS","2022-11-13T21:40:22.858+07:00[Asia/Bangkok]","0.0","68.07"
"Edit Class Functionality","Verify X button is enable","SUCCESS","2022-11-13T21:59:57.79+07:00[Asia/Bangkok]","0.0","10.72"
"Submit Button Functionality","Input valid data on edit class field and choose inactive class","SUCCESS","2022-11-13T21:28:06.585+07:00[Asia/Bangkok]","0.0","7.33"
"Submit Button Functionality","Input valid data on edit class field and choose active class","SUCCESS","2022-11-13T21:28:14.933+07:00[Asia/Bangkok]","0.0","7.57"
"Submit Button Functionality","Input valid data on edit class field and didn't choose status class","SUCCESS","2022-11-13T21:28:23.832+07:00[Asia/Bangkok]","0.0","7.23"
"Submit Button Functionality","Input ""<valid data>"" with valid character allowed on edit class field and choose active class","SUCCESS","2022-11-13T21:30:39.712+07:00[Asia/Bangkok]","0.0","8.05"
"Submit Button Functionality","Input ""<valid data>"" with minimum character allowed on edit class field and choose active class","SUCCESS","2022-11-13T21:42:37.577+07:00[Asia/Bangkok]","0.0","9.4"
"Submit Button Functionality","Input ""<valid data>"" with minimum character allowed on edit class field and didn't choose status class","SUCCESS","2022-11-13T21:42:48.073+07:00[Asia/Bangkok]","0.0","9.97"
"Submit Button Functionality","Input ""<valid data>"" with maximum character allowed on edit class field and choose active class","SUCCESS","2022-11-13T21:43:39.16+07:00[Asia/Bangkok]","0.0","54.47"
"Submit Button Functionality","Input ""<valid data>"" with minimum character allowed on edit class field and choose inactive class","SUCCESS","2022-11-13T21:55:45.733+07:00[Asia/Bangkok]","0.0","15.7"
"Submit Button Functionality","Input ""<valid data>"" with maximum character allowed on edit class field and choose inactive class","SUCCESS","2022-11-13T21:56:03.363+07:00[Asia/Bangkok]","0.0","40.68"
"X Button Functionality","Input valid data on edit class field","SUCCESS","2022-11-13T21:44:34.755+07:00[Asia/Bangkok]","0.0","39.2"
"X Button Functionality","Input invalid data on edit class field","SUCCESS","2022-11-13T21:45:14.868+07:00[Asia/Bangkok]","0.0","12.18"
"X Button Functionality","Input valid data and choose active class","SUCCESS","2022-11-13T21:45:28.101+07:00[Asia/Bangkok]","0.0","9.64"
