"Story","Title","Result","Date","Stability","Duration (s)"
"Edit Class Functionality","Input Numeric on edit class field","FAILURE","2022-11-13T22:00:09.742+07:00[Asia/Bangkok]","0.0","8.4"
"Submit Button Functionality","Input invalid data on edit class field and choose inactive class","FAILURE","2022-11-13T21:29:30.501+07:00[Asia/Bangkok]","0.0","10.4"
"Submit Button Functionality","Input invalid data on edit class field and choose active class","FAILURE","2022-11-13T21:29:42.469+07:00[Asia/Bangkok]","0.0","9.93"
"Submit Button Functionality","Input invalid data on edit class field and didn't choose status class","FAILURE","2022-11-13T21:29:53.892+07:00[Asia/Bangkok]","0.0","10.07"
"Submit Button Functionality","Input empty data on edit class field and choose inactive class","FAILURE","2022-11-13T21:30:05.7+07:00[Asia/Bangkok]","0.0","10.23"
"Submit Button Functionality","Input empty data on edit class field and choose active class","FAILURE","2022-11-13T21:30:17.375+07:00[Asia/Bangkok]","0.0","9.2"
"Submit Button Functionality","Input empty data on edit class field and didn't choose active class","FAILURE","2022-11-13T21:30:27.967+07:00[Asia/Bangkok]","0.0","9.92"
"User Login Functionality","Verify user login without email suffix","FAILURE","2022-11-13T22:29:08.077+07:00[Asia/Bangkok]","0.0","1.28"
"User Login Functionality","Verify user login at the same times with different browser","FAILURE","2022-11-13T23:30:19.224+07:00[Asia/Bangkok]","0.0","16.6"
"User Login Functionality","Verify accessing webapp after close without logout","FAILURE","2022-11-13T23:30:35.871+07:00[Asia/Bangkok]","0.0","15.38"
"Mentee Task Page Task Bar","Verify Task Bar visibility when there is no mentee due task","FAILURE","2022-11-14T01:06:57.166+07:00[Asia/Bangkok]","0.0","10.24"
"Register New Member","Verify register new member with Common Delimiter on field name","FAILURE","2022-11-13T22:58:29.556+07:00[Asia/Bangkok]","0.0","15.21"
"Register New Member","Verify register new member with Leading Space on field name","FAILURE","2022-11-13T22:58:46.323+07:00[Asia/Bangkok]","0.0","9.83"
"Register New Member","Verify register new member with End-of-Line Characters(^M) on field name","FAILURE","2022-11-13T22:58:57.49+07:00[Asia/Bangkok]","0.0","9.44"
"Register New Member","Verify register new member with Emoji on field name","FAILURE","2022-11-13T22:59:08.027+07:00[Asia/Bangkok]","0.0","10.07"
"Register New Member","Verify register new member with more than allowed characters ammount on field email","FAILURE","2022-11-13T22:59:19.409+07:00[Asia/Bangkok]","0.0","9.97"
"Register New Member","Verify email is unique value","FAILURE","2022-11-13T22:59:30.765+07:00[Asia/Bangkok]","0.0","8.78"
"Register New Member","Verify password is masked when eye icon is not clicked","FAILURE","2022-11-13T23:00:05.611+07:00[Asia/Bangkok]","0.0","10.26"
"Register New Member","Verify password is masked when eye icon is clicked","FAILURE","2022-11-13T23:00:15.901+07:00[Asia/Bangkok]","0.0","10.21"
