"Story","Title","Result","Date","Stability","Duration (s)"
"Delete Button Functionality","Verify deleting a class","SUCCESS","2022-11-13T20:13:25.263+07:00[Asia/Bangkok]","0.0","10.26"
"Admin Home Page List User","Verify Scroll bar visibility","SUCCESS","2022-11-13T16:36:54.407+07:00[Asia/Bangkok]","0.0","10.17"
"Modal of Edit Users by Admin","Verify Name field is enable","SUCCESS","2022-11-13T16:38:05.288+07:00[Asia/Bangkok]","0.0","10.26"
"Modal of Edit Users by Admin","Verify Email field is enable","SUCCESS","2022-11-13T16:38:15.566+07:00[Asia/Bangkok]","0.0","10.21"
"Modal of Edit Users by Admin","Verify Password field is enable","SUCCESS","2022-11-13T16:38:25.797+07:00[Asia/Bangkok]","0.0","10.26"
"Modal of Edit Users by Admin","Verify Class field is enable","SUCCESS","2022-11-13T16:38:36.082+07:00[Asia/Bangkok]","0.0","10.21"
"Admin Home Page Element Visibility and Locator","Verify all element is visible using automated element locator","SUCCESS","2022-11-13T17:21:22.446+07:00[Asia/Bangkok]","0.0","10.22"
"User Login Functionality","Verify user login with multiple tap on login button","SUCCESS","2022-11-13T22:29:09.411+07:00[Asia/Bangkok]","0.0","15.39"
"User Login Functionality","Verify user login at the same times with different browser","FAILURE","2022-11-13T23:30:19.224+07:00[Asia/Bangkok]","0.0","16.6"
"User Login Functionality","Verify accessing webapp after close without logout","FAILURE","2022-11-13T23:30:35.871+07:00[Asia/Bangkok]","0.0","15.38"
"Element visibility and locator mentee home page","Verify all element is visible using automated element locator","SUCCESS","2022-11-14T02:53:20.362+07:00[Asia/Bangkok]","0.0","11.51"
"Element visibility and locator","Verify all element is visible using automated element locator","SUCCESS","2022-11-14T03:05:35.91+07:00[Asia/Bangkok]","0.0","11.2"
"Hero Pics and Message","Verify Hero Pics and message visibility","SUCCESS","2022-11-13T23:54:05.101+07:00[Asia/Bangkok]","0.0","11.49"
"Mentee Home Page Task Bar","Verify Task Bar visibility when there is mentee due task","SUCCESS","2022-11-13T23:54:16.641+07:00[Asia/Bangkok]","0.0","10.22"
"Mentee Home Page Task Bar","Verify Task Bar visibility when there is no mentee due task","FAILURE","2022-11-13T23:54:26.89+07:00[Asia/Bangkok]","0.0","10.26"
"Mentee Home Page Task Bar","Verify Task Bar Title visibility","SUCCESS","2022-11-13T23:54:37.184+07:00[Asia/Bangkok]","0.0","10.23"
"Mentee Home Page Task Bar","Verify Task file redirect functionality","SUCCESS","2022-11-13T23:54:47.462+07:00[Asia/Bangkok]","0.0","10.28"
"Mentee Home Page Task Bar","Verify Score visibility when reviewed","SUCCESS","2022-11-13T23:54:57.768+07:00[Asia/Bangkok]","0.0","10.22"
"Mentee Home Page Task Bar","Verify Score visibility when not reviewed","SUCCESS","2022-11-13T23:55:08.024+07:00[Asia/Bangkok]","0.0","10.23"
"Mentee Home Page Task Bar","Verify Scroll bar visibility","SUCCESS","2022-11-13T23:55:18.283+07:00[Asia/Bangkok]","0.0","10.28"
"Mentee Home Page Task Bar","Verify Task Bar Title font size","SUCCESS","2022-11-13T23:55:28.603+07:00[Asia/Bangkok]","0.0","10.23"
"Mentee Home Page Task Bar","Verify Task Title Font size and location","SUCCESS","2022-11-13T23:55:38.858+07:00[Asia/Bangkok]","0.0","10.24"
"Mentee Home Page Task Bar","Verify Task description Font size and location","SUCCESS","2022-11-13T23:55:49.129+07:00[Asia/Bangkok]","0.0","10.23"
"Mentee Home Page Task Bar","Verify Due date Font config and location","SUCCESS","2022-11-13T23:55:59.376+07:00[Asia/Bangkok]","0.0","10.2"
"Mentee Home Page Task Bar","Verify Task file location","SUCCESS","2022-11-13T23:56:09.599+07:00[Asia/Bangkok]","0.0","10.21"
"Mentee Home Page Task Bar","Verify Score location","SUCCESS","2022-11-13T23:56:19.83+07:00[Asia/Bangkok]","0.0","10.22"
"Mentee Home Page Title","Verify Page Title location","SUCCESS","2022-11-13T23:56:30.063+07:00[Asia/Bangkok]","0.0","10.19"
"Mentee Home Page Title","Verify Page Title has biggest font on the page","SUCCESS","2022-11-13T23:56:40.265+07:00[Asia/Bangkok]","0.0","10.18"
"User's Name and Role","Verify User's name and role font size","SUCCESS","2022-11-13T23:58:09.293+07:00[Asia/Bangkok]","0.0","10.2"
