"Story","Title","Result","Date","Stability","Duration (s)"
"Element visibility and locator mentee home page","Verify all element is visible using automated element locator","SUCCESS","2022-11-14T02:53:20.362+07:00[Asia/Bangkok]","0.0","11.51"
"Element visibility and locator","Verify all element is visible using automated element locator","SUCCESS","2022-11-14T03:05:35.91+07:00[Asia/Bangkok]","0.0","11.2"
"Hero Pics and Message","Verify Hero Pics and message visibility","SUCCESS","2022-11-13T23:54:05.101+07:00[Asia/Bangkok]","0.0","11.49"
"Mentee Home Page Task Bar","Verify Task Title visibility","SUCCESS","2022-11-10T22:52:14.811+07:00[Asia/Bangkok]","0.0","45.38"
"Mentee Home Page Task Bar","Verify Task description visibility","SUCCESS","2022-11-10T22:53:01.883+07:00[Asia/Bangkok]","0.0","6.72"
"Mentee Home Page Task Bar","Verify Due Date visibility","SUCCESS","2022-11-10T22:53:09.816+07:00[Asia/Bangkok]","0.0","6.28"
"Mentee Home Page Task Bar","Verify Task file visibility","SUCCESS","2022-11-10T22:53:17.063+07:00[Asia/Bangkok]","0.0","5.86"
"Mentee Home Page Task Bar","Verify Submit your task visibility","SUCCESS","2022-11-10T22:53:48.547+07:00[Asia/Bangkok]","0.0","5.32"
"Mentee Home Page Task Bar","Verify Submit your task functionality","SUCCESS","2022-11-10T22:53:54.847+07:00[Asia/Bangkok]","0.0","5.66"
"Mentee Home Page Task Bar","Verify Task Bar visibility when there is mentee due task","SUCCESS","2022-11-13T23:54:16.641+07:00[Asia/Bangkok]","0.0","10.22"
"Mentee Home Page Task Bar","Verify Task Bar Title visibility","SUCCESS","2022-11-13T23:54:37.184+07:00[Asia/Bangkok]","0.0","10.23"
"Mentee Home Page Task Bar","Verify Task file redirect functionality","SUCCESS","2022-11-13T23:54:47.462+07:00[Asia/Bangkok]","0.0","10.28"
"Mentee Home Page Task Bar","Verify Score visibility when reviewed","SUCCESS","2022-11-13T23:54:57.768+07:00[Asia/Bangkok]","0.0","10.22"
"Mentee Home Page Task Bar","Verify Score visibility when not reviewed","SUCCESS","2022-11-13T23:55:08.024+07:00[Asia/Bangkok]","0.0","10.23"
"Mentee Home Page Task Bar","Verify Scroll bar visibility","SUCCESS","2022-11-13T23:55:18.283+07:00[Asia/Bangkok]","0.0","10.28"
"Mentee Home Page Task Bar","Verify Task Bar Title font size","SUCCESS","2022-11-13T23:55:28.603+07:00[Asia/Bangkok]","0.0","10.23"
"Mentee Home Page Task Bar","Verify Task Title Font size and location","SUCCESS","2022-11-13T23:55:38.858+07:00[Asia/Bangkok]","0.0","10.24"
"Mentee Home Page Task Bar","Verify Task description Font size and location","SUCCESS","2022-11-13T23:55:49.129+07:00[Asia/Bangkok]","0.0","10.23"
"Mentee Home Page Task Bar","Verify Due date Font config and location","SUCCESS","2022-11-13T23:55:59.376+07:00[Asia/Bangkok]","0.0","10.2"
"Mentee Home Page Task Bar","Verify Task file location","SUCCESS","2022-11-13T23:56:09.599+07:00[Asia/Bangkok]","0.0","10.21"
"Mentee Home Page Task Bar","Verify Score location","SUCCESS","2022-11-13T23:56:19.83+07:00[Asia/Bangkok]","0.0","10.22"
"Mentee Home Page Menu Navigation","Verify Mentee Home Page Menu Navigation and option visibility","SUCCESS","2022-11-14T00:20:50.479+07:00[Asia/Bangkok]","0.0","22.54"
"Mentee Home Page Menu Navigation","Verify Mentee Home Page Menu Navigation and option functionality","SUCCESS","2022-11-14T00:21:14.21+07:00[Asia/Bangkok]","0.0","11.85"
"Mentee Home Page Title","Verify Page Title location","SUCCESS","2022-11-13T23:56:30.063+07:00[Asia/Bangkok]","0.0","10.19"
"Mentee Home Page Title","Verify Page Title has biggest font on the page","SUCCESS","2022-11-13T23:56:40.265+07:00[Asia/Bangkok]","0.0","10.18"
"Mentee Home Page Title","Verify Page Title contains correct message","SUCCESS","2022-11-14T00:24:53.889+07:00[Asia/Bangkok]","0.0","9.18"
"User's Name and Role","Verify User's name visibility","SUCCESS","2022-11-13T23:56:50.463+07:00[Asia/Bangkok]","0.0","60.72"
"User's Name and Role","Verify User's role visibility","SUCCESS","2022-11-13T23:57:52.117+07:00[Asia/Bangkok]","0.0","10.49"
"User's Name and Role","Verify User's profile picture visibility","SUCCESS","2022-11-13T23:58:03.409+07:00[Asia/Bangkok]","0.0","5.08"
"User's Name and Role","Verify User's name and role font size","SUCCESS","2022-11-13T23:58:09.293+07:00[Asia/Bangkok]","0.0","10.2"
"View All Task Button","Verify view all task button functionality","SUCCESS","2022-11-10T23:05:24.292+07:00[Asia/Bangkok]","0.0","48.55"
"View All Task Button","Verify navigate to task page by typing directly to browser","SUCCESS","2022-11-10T23:06:13.668+07:00[Asia/Bangkok]","0.0","73.17"
"View All Task Button","Verify view all task button visibility","SUCCESS","2022-11-10T23:07:27.645+07:00[Asia/Bangkok]","0.0","5.98"
