"Story","Title","Result","Date","Stability","Duration (s)"
"Element visibility and locator mentee home page","Verify all element is visible using automated element locator","SUCCESS","2022-11-14T02:53:20.362+07:00[Asia/Bangkok]","0.0","11.51"
"Element visibility and locator","Verify all element is visible using automated element locator","SUCCESS","2022-11-14T03:05:35.91+07:00[Asia/Bangkok]","0.0","11.2"
"Hero Pics and Message","Verify Hero Pics and message visibility","SUCCESS","2022-11-13T23:54:05.101+07:00[Asia/Bangkok]","0.0","11.49"
"Mentee Home Page Task Bar","Verify Task Bar visibility when there is mentee due task","SUCCESS","2022-11-13T23:54:16.641+07:00[Asia/Bangkok]","0.0","10.22"
"Mentee Home Page Task Bar","Verify Task Bar visibility when there is no mentee due task","FAILURE","2022-11-13T23:54:26.89+07:00[Asia/Bangkok]","0.0","10.26"
"Mentee Home Page Task Bar","Verify Task Bar Title visibility","SUCCESS","2022-11-13T23:54:37.184+07:00[Asia/Bangkok]","0.0","10.23"
"Mentee Home Page Task Bar","Verify Task file redirect functionality","SUCCESS","2022-11-13T23:54:47.462+07:00[Asia/Bangkok]","0.0","10.28"
"Mentee Home Page Task Bar","Verify Score visibility when reviewed","SUCCESS","2022-11-13T23:54:57.768+07:00[Asia/Bangkok]","0.0","10.22"
"Mentee Home Page Task Bar","Verify Score visibility when not reviewed","SUCCESS","2022-11-13T23:55:08.024+07:00[Asia/Bangkok]","0.0","10.23"
"Mentee Home Page Task Bar","Verify Scroll bar visibility","SUCCESS","2022-11-13T23:55:18.283+07:00[Asia/Bangkok]","0.0","10.28"
"Mentee Home Page Task Bar","Verify Task Bar Title font size","SUCCESS","2022-11-13T23:55:28.603+07:00[Asia/Bangkok]","0.0","10.23"
"Mentee Home Page Task Bar","Verify Task Title Font size and location","SUCCESS","2022-11-13T23:55:38.858+07:00[Asia/Bangkok]","0.0","10.24"
"Mentee Home Page Task Bar","Verify Task description Font size and location","SUCCESS","2022-11-13T23:55:49.129+07:00[Asia/Bangkok]","0.0","10.23"
"Mentee Home Page Task Bar","Verify Due date Font config and location","SUCCESS","2022-11-13T23:55:59.376+07:00[Asia/Bangkok]","0.0","10.2"
"Mentee Home Page Task Bar","Verify Task file location","SUCCESS","2022-11-13T23:56:09.599+07:00[Asia/Bangkok]","0.0","10.21"
"Mentee Home Page Task Bar","Verify Score location","SUCCESS","2022-11-13T23:56:19.83+07:00[Asia/Bangkok]","0.0","10.22"
"Mentee Home Page Menu Navigation","Verify Mentee Home Page Menu Navigation and option visibility","SUCCESS","2022-11-14T00:20:50.479+07:00[Asia/Bangkok]","0.0","22.54"
"Mentee Home Page Menu Navigation","Verify Mentee Home Page Menu Navigation and option functionality","SUCCESS","2022-11-14T00:21:14.21+07:00[Asia/Bangkok]","0.0","11.85"
"Mentee Home Page Title","Verify Page Title location","SUCCESS","2022-11-13T23:56:30.063+07:00[Asia/Bangkok]","0.0","10.19"
"Mentee Home Page Title","Verify Page Title has biggest font on the page","SUCCESS","2022-11-13T23:56:40.265+07:00[Asia/Bangkok]","0.0","10.18"
"User's Name and Role","Verify User's role visibility","SUCCESS","2022-11-13T23:57:52.117+07:00[Asia/Bangkok]","0.0","10.49"
"User's Name and Role","Verify User's name and role font size","SUCCESS","2022-11-13T23:58:09.293+07:00[Asia/Bangkok]","0.0","10.2"
