"Story","Title","Result","Date","Stability","Duration (s)"
"Edit Class Functionality","Input Numeric on edit class field","FAILURE","2022-11-13T22:00:09.742+07:00[Asia/Bangkok]","0.0","8.4"
"Submit Button Functionality","Input invalid data on edit class field and choose active class","FAILURE","2022-11-13T21:29:42.469+07:00[Asia/Bangkok]","0.0","9.93"
"Submit Button Functionality","Input empty data on edit class field and choose active class","FAILURE","2022-11-13T21:30:17.375+07:00[Asia/Bangkok]","0.0","9.2"
"Submit Button Functionality","Input empty data on edit class field and didn't choose active class","FAILURE","2022-11-13T21:30:27.967+07:00[Asia/Bangkok]","0.0","9.92"
"User Login Functionality","Verify user login when other login session is active","FAILURE","2022-11-13T15:50:36.894+07:00[Asia/Bangkok]","0.0","1.28"
"User Login Functionality","Verify user login without email suffix","FAILURE","2022-11-13T22:29:08.077+07:00[Asia/Bangkok]","0.0","1.28"
"Element Visibility and Locator","Verify all element is visible using automated element locator on Mentee Page","ERROR","2022-11-12T21:28:05.942+07:00[Asia/Bangkok]","0.0","9.55"
"Register New Member","Verify register new member with Leading Space on field name","FAILURE","2022-11-13T22:58:46.323+07:00[Asia/Bangkok]","0.0","9.83"
"Register New Member","Verify register new member with End-of-Line Characters(^M) on field name","FAILURE","2022-11-13T22:58:57.49+07:00[Asia/Bangkok]","0.0","9.44"
"Register New Member","Verify register new member with more than allowed characters ammount on field email","FAILURE","2022-11-13T22:59:19.409+07:00[Asia/Bangkok]","0.0","9.97"
"Register New Member","Verify email is unique value","FAILURE","2022-11-13T22:59:30.765+07:00[Asia/Bangkok]","0.0","8.78"
