"Story","Title","Result","Date","Stability","Duration (s)"
"Add new member element visibility","Verify all Add new member page element visibility using automated element inspector","SUCCESS","2022-11-13T22:37:08.753+07:00[Asia/Bangkok]","0.0","11.87"
"Add new member element visibility","Verify Page Title visibility","SUCCESS","2022-11-13T22:37:20.654+07:00[Asia/Bangkok]","0.0","10.24"
"Register New Member","Verify register new member with valid data","SUCCESS","2022-11-11T22:35:18.342+07:00[Asia/Bangkok]","0.0","10.94"
"Register New Member","Verify register new member with number on field name","SUCCESS","2022-11-12T01:30:19.025+07:00[Asia/Bangkok]","0.0","15.12"
"Register New Member","Verify if name field is case sensitive","SUCCESS","2022-11-12T01:36:23.755+07:00[Asia/Bangkok]","0.0","11.74"
"Register New Member","Verify register new member with special character on field email","SUCCESS","2022-11-12T01:36:37.31+07:00[Asia/Bangkok]","0.0","10.43"
"Register New Member","Verify default email field placeholder","SUCCESS","2022-11-12T01:36:49.198+07:00[Asia/Bangkok]","0.0","11.81"
"Register New Member","Verify if Class field can not be typed directly","SUCCESS","2022-11-12T01:37:22.784+07:00[Asia/Bangkok]","0.0","19.55"
"Register New Member","Verify if selected Class is correct","SUCCESS","2022-11-12T01:38:16.308+07:00[Asia/Bangkok]","0.0","25.5"
"Register New Member","Verify register new member with blank on field name","SUCCESS","2022-11-12T01:43:38.7+07:00[Asia/Bangkok]","0.0","12.66"
"Register New Member","Verify register new member with Multiple Space on field name","SUCCESS","2022-11-12T01:51:20.957+07:00[Asia/Bangkok]","0.0","13.58"
"Register New Member","Verify register new member with Copy-Paste on field name","SUCCESS","2022-11-12T01:58:06.799+07:00[Asia/Bangkok]","0.0","12.77"
"Register New Member","Verify default name field placeholder","SUCCESS","2022-11-12T02:02:27.836+07:00[Asia/Bangkok]","0.0","12.55"
"Register New Member","Verify register new member with Accented Char on field name","SUCCESS","2022-11-13T22:37:30.964+07:00[Asia/Bangkok]","0.0","10.26"
"Register New Member","Verify if just one Class can be selected","SUCCESS","2022-11-13T22:37:41.247+07:00[Asia/Bangkok]","0.0","10.23"
"Register New Member","Verify register new member with Copy-Paste on field password","FAILURE","2022-11-13T22:37:51.507+07:00[Asia/Bangkok]","0.0","10.27"
"Register New Member","Verify register new member with Common Delimiter on field name","FAILURE","2022-11-13T22:58:29.556+07:00[Asia/Bangkok]","0.0","15.21"
"Register New Member","Verify register new member with Emoji on field name","FAILURE","2022-11-13T22:59:08.027+07:00[Asia/Bangkok]","0.0","10.07"
"Register New Member","Verify if Role field can not be typed directly","SUCCESS","2022-11-13T22:59:40.815+07:00[Asia/Bangkok]","0.0","10.2"
"Register New Member","Verify password is masked when eye icon is not clicked","FAILURE","2022-11-13T23:00:05.611+07:00[Asia/Bangkok]","0.0","10.26"
"Register New Member","Verify password is masked when eye icon is clicked","FAILURE","2022-11-13T23:00:15.901+07:00[Asia/Bangkok]","0.0","10.21"
"Register New Member","Verify register new member without special char on field password","SUCCESS","2022-11-13T23:05:57.285+07:00[Asia/Bangkok]","0.0","11.24"
