"Story","Title","Result","Date","Stability","Duration (s)"
"Add Class by Admin","Verify class field is enable","SUCCESS","2022-11-13T17:38:15.061+07:00[Asia/Bangkok]","0.0","13.07"
"Delete Button Functionality","Verify Cancel Delete class","SUCCESS","2022-11-13T20:13:13.212+07:00[Asia/Bangkok]","0.0","10.91"
"Delete Button Functionality","Verify deleting a class","SUCCESS","2022-11-13T20:13:25.263+07:00[Asia/Bangkok]","0.0","10.26"
"Edit Class Functionality","Verify update class status to non_active","SUCCESS","2022-11-13T21:38:20.991+07:00[Asia/Bangkok]","0.0","12.28"
"Edit Class Functionality","Verify update class status to active","SUCCESS","2022-11-13T21:38:34.58+07:00[Asia/Bangkok]","0.0","12.68"
"Edit Class Functionality","Verify X button is enable","SUCCESS","2022-11-13T21:59:57.79+07:00[Asia/Bangkok]","0.0","10.72"
"Submit Button Functionality","Input ""<valid data>"" with minimum character allowed on edit class field and choose inactive class","SUCCESS","2022-11-13T21:55:45.733+07:00[Asia/Bangkok]","0.0","15.7"
"X Button Functionality","Input invalid data on edit class field","SUCCESS","2022-11-13T21:45:14.868+07:00[Asia/Bangkok]","0.0","12.18"
"X Button Functionality","Input invalid data and choose active class","SUCCESS","2022-11-13T21:46:10.734+07:00[Asia/Bangkok]","0.0","26.0"
"X Button Functionality","Input invalid data and choose inactive class","SUCCESS","2022-11-13T21:46:37.742+07:00[Asia/Bangkok]","0.0","18.84"
"Admin Home Page List User","Verify Scroll bar visibility","SUCCESS","2022-11-13T16:36:54.407+07:00[Asia/Bangkok]","0.0","10.17"
"Admin Home Page List User","Verify List User Title visibility","SUCCESS","2022-11-13T17:20:06.726+07:00[Asia/Bangkok]","0.0","13.63"
"Modal of Edit Users by Admin","Verify Name field is enable","SUCCESS","2022-11-13T16:38:05.288+07:00[Asia/Bangkok]","0.0","10.26"
"Modal of Edit Users by Admin","Verify Email field is enable","SUCCESS","2022-11-13T16:38:15.566+07:00[Asia/Bangkok]","0.0","10.21"
"Modal of Edit Users by Admin","Verify Password field is enable","SUCCESS","2022-11-13T16:38:25.797+07:00[Asia/Bangkok]","0.0","10.26"
"Modal of Edit Users by Admin","Verify Class field is enable","SUCCESS","2022-11-13T16:38:36.082+07:00[Asia/Bangkok]","0.0","10.21"
"Modal of Edit Users by Admin","Verify Dropdown Content functionality","SUCCESS","2022-11-13T17:29:34.257+07:00[Asia/Bangkok]","0.0","20.12"
"Submit Button Functionality","Verify user input invalid data","SUCCESS","2022-11-13T16:39:20.886+07:00[Asia/Bangkok]","0.0","29.85"
"Submit Button Functionality","Verify user input valid data","SUCCESS","2022-11-13T17:21:01.654+07:00[Asia/Bangkok]","0.0","19.74"
"Admin Home Page Element Visibility and Locator","Verify all element is visible using automated element locator","SUCCESS","2022-11-13T17:21:22.446+07:00[Asia/Bangkok]","0.0","10.22"
"Edit User’s Profile by Mentee","Verify all element is visible using automated element locator on Mentee Profile Page","SUCCESS","2022-11-13T22:08:41.269+07:00[Asia/Bangkok]","0.0","13.09"
"Submit Button","Verify Submit button when edit with valid data","SUCCESS","2022-11-13T22:08:56.019+07:00[Asia/Bangkok]","0.0","10.84"
"Login Page Element and Interaction","Verify email and password field is interactable","SUCCESS","2022-11-10T21:54:48.624+07:00[Asia/Bangkok]","0.0","53.09"
"Login Page Element and Interaction","Verify login button and contact admin link is interactable","SUCCESS","2022-11-10T21:55:41.719+07:00[Asia/Bangkok]","0.0","23.53"
"User Login Functionality","Verify whether email field is case sensitive","SUCCESS","2022-11-11T02:23:39.192+07:00[Asia/Bangkok]","0.0","12.66"
"User Login Functionality","Verify user login with copy pasted password","SUCCESS","2022-11-11T02:24:11.891+07:00[Asia/Bangkok]","0.0","10.33"
"User Login Functionality","Verify user login with multiple tap on login button","SUCCESS","2022-11-13T22:29:09.411+07:00[Asia/Bangkok]","0.0","15.39"
"Element visibility and locator mentee home page","Verify all element is visible using automated element locator","SUCCESS","2022-11-14T02:53:20.362+07:00[Asia/Bangkok]","0.0","11.51"
"Element visibility and locator","Verify all element is visible using automated element locator","SUCCESS","2022-11-14T03:05:35.91+07:00[Asia/Bangkok]","0.0","11.2"
"Hero Pics and Message","Verify Hero Pics and message visibility","SUCCESS","2022-11-13T23:54:05.101+07:00[Asia/Bangkok]","0.0","11.49"
"Mentee Home Page Task Bar","Verify Task Bar visibility when there is mentee due task","SUCCESS","2022-11-13T23:54:16.641+07:00[Asia/Bangkok]","0.0","10.22"
"Mentee Home Page Task Bar","Verify Task Bar Title visibility","SUCCESS","2022-11-13T23:54:37.184+07:00[Asia/Bangkok]","0.0","10.23"
"Mentee Home Page Task Bar","Verify Task file redirect functionality","SUCCESS","2022-11-13T23:54:47.462+07:00[Asia/Bangkok]","0.0","10.28"
"Mentee Home Page Task Bar","Verify Score visibility when reviewed","SUCCESS","2022-11-13T23:54:57.768+07:00[Asia/Bangkok]","0.0","10.22"
"Mentee Home Page Task Bar","Verify Score visibility when not reviewed","SUCCESS","2022-11-13T23:55:08.024+07:00[Asia/Bangkok]","0.0","10.23"
"Mentee Home Page Task Bar","Verify Scroll bar visibility","SUCCESS","2022-11-13T23:55:18.283+07:00[Asia/Bangkok]","0.0","10.28"
"Mentee Home Page Task Bar","Verify Task Bar Title font size","SUCCESS","2022-11-13T23:55:28.603+07:00[Asia/Bangkok]","0.0","10.23"
"Mentee Home Page Task Bar","Verify Task Title Font size and location","SUCCESS","2022-11-13T23:55:38.858+07:00[Asia/Bangkok]","0.0","10.24"
"Mentee Home Page Task Bar","Verify Task description Font size and location","SUCCESS","2022-11-13T23:55:49.129+07:00[Asia/Bangkok]","0.0","10.23"
"Mentee Home Page Task Bar","Verify Due date Font config and location","SUCCESS","2022-11-13T23:55:59.376+07:00[Asia/Bangkok]","0.0","10.2"
"Mentee Home Page Task Bar","Verify Task file location","SUCCESS","2022-11-13T23:56:09.599+07:00[Asia/Bangkok]","0.0","10.21"
"Mentee Home Page Task Bar","Verify Score location","SUCCESS","2022-11-13T23:56:19.83+07:00[Asia/Bangkok]","0.0","10.22"
"Mentee Home Page Menu Navigation","Verify Mentee Home Page Menu Navigation and option visibility","SUCCESS","2022-11-14T00:20:50.479+07:00[Asia/Bangkok]","0.0","22.54"
"Mentee Home Page Menu Navigation","Verify Mentee Home Page Menu Navigation and option functionality","SUCCESS","2022-11-14T00:21:14.21+07:00[Asia/Bangkok]","0.0","11.85"
"Mentee Home Page Title","Verify Page Title location","SUCCESS","2022-11-13T23:56:30.063+07:00[Asia/Bangkok]","0.0","10.19"
"Mentee Home Page Title","Verify Page Title has biggest font on the page","SUCCESS","2022-11-13T23:56:40.265+07:00[Asia/Bangkok]","0.0","10.18"
"User's Name and Role","Verify User's role visibility","SUCCESS","2022-11-13T23:57:52.117+07:00[Asia/Bangkok]","0.0","10.49"
"User's Name and Role","Verify User's name and role font size","SUCCESS","2022-11-13T23:58:09.293+07:00[Asia/Bangkok]","0.0","10.2"
"Mentee Task Page Task Bar","Verify Task Bar visibility when there is mentee due task","SUCCESS","2022-11-14T01:06:46.897+07:00[Asia/Bangkok]","0.0","10.24"
