"Story","Title","Result","Date","Stability","Duration (s)"
"Admin Home Page List User","Verify List User visibility when there is list users","SUCCESS","2022-11-12T17:54:59.405+07:00[Asia/Bangkok]","0.0","7.87"
"Admin Home Page List User","Verify List User visibility when there is no list users","ERROR","2022-11-12T17:55:08.284+07:00[Asia/Bangkok]","0.0","6.57"
"Admin Home Page List User","Verify List User Title visibility","SUCCESS","2022-11-12T17:55:15.828+07:00[Asia/Bangkok]","0.0","5.31"
"Admin Home Page List User","Verify Kebab Button functionality","SUCCESS","2022-11-12T17:58:55.911+07:00[Asia/Bangkok]","0.0","6.84"
"Modal of Edit Users by Admin","Verify Modal Edit Element visibility","SUCCESS","2022-11-12T19:45:17.086+07:00[Asia/Bangkok]","0.0","8.98"
"Modal of Edit Users by Admin","Input alphabet on Name field","FAILURE","2022-11-12T19:45:26.989+07:00[Asia/Bangkok]","0.0","5.75"
"Modal of Edit Users by Admin","Input numeric on Name field","FAILURE","2022-11-12T19:45:33.815+07:00[Asia/Bangkok]","0.0","6.55"
"Modal of Edit Users by Admin","Input special character on Name field","SUCCESS","2022-11-12T19:45:41.465+07:00[Asia/Bangkok]","0.0","5.19"
"Modal of Edit Users by Admin","Input Invalid Email on Email field","ERROR","2022-11-12T19:45:47.514+07:00[Asia/Bangkok]","0.0","7.96"
"Modal of Edit Users by Admin","Input valid Email on Email field","SUCCESS","2022-11-12T19:45:56.328+07:00[Asia/Bangkok]","0.0","5.23"
"Modal of Edit Users by Admin","Verify Dropdown Button functionality","SUCCESS","2022-11-12T19:46:02.436+07:00[Asia/Bangkok]","0.0","5.41"
"Modal of Edit Users by Admin","Verify Dropdown Content functionality","SUCCESS","2022-11-12T20:08:10.601+07:00[Asia/Bangkok]","0.0","7.73"
"Admin Home Page Title","Verify Page Title contains correct message","SUCCESS","2022-11-12T20:19:16.785+07:00[Asia/Bangkok]","0.0","6.52"
"Submit Button Functionality","Verify user input valid data","FAILURE","2022-11-12T20:25:10.606+07:00[Asia/Bangkok]","0.0","9.14"
"Submit Button Functionality","Verify user input invalid data","SUCCESS","2022-11-12T20:25:20.965+07:00[Asia/Bangkok]","0.0","6.25"
