"Story","Title","Result","Date","Stability","Duration (s)"
"Modal of Edit Users by Admin","Verify Modal Edit Element visibility","SUCCESS","2022-11-13T16:37:04.594+07:00[Asia/Bangkok]","0.0","5.62"
"Modal of Edit Users by Admin","Input special character on Name field","SUCCESS","2022-11-13T16:37:26.401+07:00[Asia/Bangkok]","0.0","6.4"
"Modal of Edit Users by Admin","Input Invalid Email on Email field","SUCCESS","2022-11-13T16:37:33.864+07:00[Asia/Bangkok]","0.0","6.47"
"Modal of Edit Users by Admin","Input valid Email on Email field","SUCCESS","2022-11-13T16:37:41.45+07:00[Asia/Bangkok]","0.0","6.11"
"Modal of Edit Users by Admin","Verify Dropdown Button functionality","SUCCESS","2022-11-13T16:37:48.497+07:00[Asia/Bangkok]","0.0","6.3"
"Modal of Edit Users by Admin","Verify Name field is enable","SUCCESS","2022-11-13T16:38:05.288+07:00[Asia/Bangkok]","0.0","10.26"
"Modal of Edit Users by Admin","Verify Email field is enable","SUCCESS","2022-11-13T16:38:15.566+07:00[Asia/Bangkok]","0.0","10.21"
"Modal of Edit Users by Admin","Verify Password field is enable","SUCCESS","2022-11-13T16:38:25.797+07:00[Asia/Bangkok]","0.0","10.26"
"Modal of Edit Users by Admin","Verify Class field is enable","SUCCESS","2022-11-13T16:38:36.082+07:00[Asia/Bangkok]","0.0","10.21"
"Modal of Edit Users by Admin","Input alphabet on Name field","SUCCESS","2022-11-13T17:20:23.012+07:00[Asia/Bangkok]","0.0","9.81"
"Modal of Edit Users by Admin","Input numeric on Name field","SUCCESS","2022-11-13T17:20:33.875+07:00[Asia/Bangkok]","0.0","9.81"
"Modal of Edit Users by Admin","Verify Dropdown Content functionality","SUCCESS","2022-11-13T17:29:34.257+07:00[Asia/Bangkok]","0.0","20.12"
