"Story","Title","Result","Date","Stability","Duration (s)"
"Admin Home Page List User","Verify List User visibility when there is list users","SUCCESS","2022-11-13T16:35:37.914+07:00[Asia/Bangkok]","0.0","9.12"
"Admin Home Page List User","Verify List User visibility when there is no list users","SUCCESS","2022-11-13T16:35:48.281+07:00[Asia/Bangkok]","0.0","6.41"
"Admin Home Page List User","Verify List User Content visibility","SUCCESS","2022-11-13T16:36:04.486+07:00[Asia/Bangkok]","0.0","5.7"
"Admin Home Page List User","Verify Kebab Button visibility","SUCCESS","2022-11-13T16:36:11.146+07:00[Asia/Bangkok]","0.0","5.27"
"Admin Home Page List User","Verify Kebab Button functionality","SUCCESS","2022-11-13T16:36:17.583+07:00[Asia/Bangkok]","0.0","5.68"
"Admin Home Page List User","Verify Delete Button functionality","SUCCESS","2022-11-13T16:36:24.437+07:00[Asia/Bangkok]","0.0","6.7"
"Admin Home Page List User","Verify Cancel Delete User functionality","SUCCESS","2022-11-13T16:36:32.198+07:00[Asia/Bangkok]","0.0","6.33"
"Admin Home Page List User","Verify Delete User functionality","SUCCESS","2022-11-13T16:36:39.562+07:00[Asia/Bangkok]","0.0","6.33"
"Admin Home Page List User","Verify Edit User functionality","SUCCESS","2022-11-13T16:36:47.104+07:00[Asia/Bangkok]","0.0","6.12"
"Admin Home Page List User","Verify Scroll bar visibility","SUCCESS","2022-11-13T16:36:54.407+07:00[Asia/Bangkok]","0.0","10.17"
"Admin Home Page List User","Verify List User Title visibility","SUCCESS","2022-11-13T17:20:06.726+07:00[Asia/Bangkok]","0.0","13.63"
"Modal of Edit Users by Admin","Verify Modal Edit Element visibility","SUCCESS","2022-11-13T16:37:04.594+07:00[Asia/Bangkok]","0.0","5.62"
"Modal of Edit Users by Admin","Input special character on Name field","SUCCESS","2022-11-13T16:37:26.401+07:00[Asia/Bangkok]","0.0","6.4"
"Modal of Edit Users by Admin","Input Invalid Email on Email field","SUCCESS","2022-11-13T16:37:33.864+07:00[Asia/Bangkok]","0.0","6.47"
"Modal of Edit Users by Admin","Input valid Email on Email field","SUCCESS","2022-11-13T16:37:41.45+07:00[Asia/Bangkok]","0.0","6.11"
"Modal of Edit Users by Admin","Verify Dropdown Button functionality","SUCCESS","2022-11-13T16:37:48.497+07:00[Asia/Bangkok]","0.0","6.3"
"Modal of Edit Users by Admin","Verify Name field is enable","SUCCESS","2022-11-13T16:38:05.288+07:00[Asia/Bangkok]","0.0","10.26"
"Modal of Edit Users by Admin","Verify Email field is enable","SUCCESS","2022-11-13T16:38:15.566+07:00[Asia/Bangkok]","0.0","10.21"
"Modal of Edit Users by Admin","Verify Password field is enable","SUCCESS","2022-11-13T16:38:25.797+07:00[Asia/Bangkok]","0.0","10.26"
"Modal of Edit Users by Admin","Verify Class field is enable","SUCCESS","2022-11-13T16:38:36.082+07:00[Asia/Bangkok]","0.0","10.21"
"Modal of Edit Users by Admin","Input alphabet on Name field","SUCCESS","2022-11-13T17:20:23.012+07:00[Asia/Bangkok]","0.0","9.81"
"Modal of Edit Users by Admin","Input numeric on Name field","SUCCESS","2022-11-13T17:20:33.875+07:00[Asia/Bangkok]","0.0","9.81"
"Modal of Edit Users by Admin","Verify Dropdown Content functionality","SUCCESS","2022-11-13T17:29:34.257+07:00[Asia/Bangkok]","0.0","20.12"
"Submit Button Functionality","Verify user input invalid data","SUCCESS","2022-11-13T16:39:20.886+07:00[Asia/Bangkok]","0.0","29.85"
"Submit Button Functionality","Verify user input valid data","SUCCESS","2022-11-13T17:21:01.654+07:00[Asia/Bangkok]","0.0","19.74"
"Admin Home Page Element Visibility and Locator","Verify all element is visible using automated element locator","SUCCESS","2022-11-13T17:21:22.446+07:00[Asia/Bangkok]","0.0","10.22"
"Admin Home Page Menu Navigation","Verify Admin Home Page Menu Navigation and option visibility","SUCCESS","2022-11-13T16:40:13.468+07:00[Asia/Bangkok]","0.0","40.25"
"Admin Home Page Menu Navigation","Verify Admin Home Page Menu Navigation and option functionality","SUCCESS","2022-11-13T16:40:54.641+07:00[Asia/Bangkok]","0.0","34.54"
"Admin Home Page Title","Verify Page Title location","SUCCESS","2022-11-13T16:41:42.96+07:00[Asia/Bangkok]","0.0","0.01"
"Admin Home Page Title","Verify Page Title contains correct message","SUCCESS","2022-11-13T17:21:32.681+07:00[Asia/Bangkok]","0.0","6.79"
