"Story","Title","Result","Date","Stability","Duration (s)"
"Add Class by Admin","Input valid data with minimum character allowed on Add Class Field","SUCCESS","2022-11-13T19:38:46.371+07:00[Asia/Bangkok]","0.0","6.64"
"Add Class by Admin","Input valid data with maximum character allowed on Add Class Field","SUCCESS","2022-11-13T19:38:54.215+07:00[Asia/Bangkok]","0.0","6.91"
"Edit Class Functionality","Verify edit class field is enable","SUCCESS","2022-11-13T20:13:35.558+07:00[Asia/Bangkok]","0.0","6.11"
"Edit Class Functionality","Verify status class field is enable","SUCCESS","2022-11-13T20:13:42.661+07:00[Asia/Bangkok]","0.0","9.78"
"Edit Class Functionality","Input Numeric on edit class field","FAILURE","2022-11-13T22:00:09.742+07:00[Asia/Bangkok]","0.0","8.4"
"Submit Button Functionality","Input valid data on edit class field and choose inactive class","SUCCESS","2022-11-13T21:28:06.585+07:00[Asia/Bangkok]","0.0","7.33"
"Submit Button Functionality","Input valid data on edit class field and choose active class","SUCCESS","2022-11-13T21:28:14.933+07:00[Asia/Bangkok]","0.0","7.57"
"Submit Button Functionality","Input valid data on edit class field and didn't choose status class","SUCCESS","2022-11-13T21:28:23.832+07:00[Asia/Bangkok]","0.0","7.23"
"Submit Button Functionality","Input invalid data on edit class field and choose active class","FAILURE","2022-11-13T21:29:42.469+07:00[Asia/Bangkok]","0.0","9.93"
"Submit Button Functionality","Input empty data on edit class field and choose active class","FAILURE","2022-11-13T21:30:17.375+07:00[Asia/Bangkok]","0.0","9.2"
"Submit Button Functionality","Input empty data on edit class field and didn't choose active class","FAILURE","2022-11-13T21:30:27.967+07:00[Asia/Bangkok]","0.0","9.92"
"Submit Button Functionality","Input ""<valid data>"" with valid character allowed on edit class field and choose active class","SUCCESS","2022-11-13T21:30:39.712+07:00[Asia/Bangkok]","0.0","8.05"
"Submit Button Functionality","Input ""<valid data>"" with minimum character allowed on edit class field and choose active class","SUCCESS","2022-11-13T21:42:37.577+07:00[Asia/Bangkok]","0.0","9.4"
"Submit Button Functionality","Input ""<valid data>"" with minimum character allowed on edit class field and didn't choose status class","SUCCESS","2022-11-13T21:42:48.073+07:00[Asia/Bangkok]","0.0","9.97"
"X Button Functionality","Input valid data and choose active class","SUCCESS","2022-11-13T21:45:28.101+07:00[Asia/Bangkok]","0.0","9.64"
