"Story","Title","Result","Date","Stability","Duration (s)"
"Add Class by Admin","Input valid data with minimum character allowed on Add Class Field","SUCCESS","2022-11-13T19:38:46.371+07:00[Asia/Bangkok]","0.0","6.64"
"Add Class by Admin","Input valid data with maximum character allowed on Add Class Field","SUCCESS","2022-11-13T19:38:54.215+07:00[Asia/Bangkok]","0.0","6.91"
"Edit Class Functionality","Verify edit class field is enable","SUCCESS","2022-11-13T20:13:35.558+07:00[Asia/Bangkok]","0.0","6.11"
"Edit Class Functionality","Verify status class field is enable","SUCCESS","2022-11-13T20:13:42.661+07:00[Asia/Bangkok]","0.0","9.78"
"Edit Class Functionality","Input Numeric on edit class field","FAILURE","2022-11-13T22:00:09.742+07:00[Asia/Bangkok]","0.0","8.4"
"Submit Button Functionality","Input valid data on edit class field and choose inactive class","SUCCESS","2022-11-13T21:28:06.585+07:00[Asia/Bangkok]","0.0","7.33"
"Submit Button Functionality","Input valid data on edit class field and choose active class","SUCCESS","2022-11-13T21:28:14.933+07:00[Asia/Bangkok]","0.0","7.57"
"Submit Button Functionality","Input valid data on edit class field and didn't choose status class","SUCCESS","2022-11-13T21:28:23.832+07:00[Asia/Bangkok]","0.0","7.23"
"Submit Button Functionality","Input invalid data on edit class field and choose active class","FAILURE","2022-11-13T21:29:42.469+07:00[Asia/Bangkok]","0.0","9.93"
"Submit Button Functionality","Input empty data on edit class field and choose active class","FAILURE","2022-11-13T21:30:17.375+07:00[Asia/Bangkok]","0.0","9.2"
"Submit Button Functionality","Input empty data on edit class field and didn't choose active class","FAILURE","2022-11-13T21:30:27.967+07:00[Asia/Bangkok]","0.0","9.92"
"Submit Button Functionality","Input ""<valid data>"" with valid character allowed on edit class field and choose active class","SUCCESS","2022-11-13T21:30:39.712+07:00[Asia/Bangkok]","0.0","8.05"
"Submit Button Functionality","Input ""<valid data>"" with minimum character allowed on edit class field and choose active class","SUCCESS","2022-11-13T21:42:37.577+07:00[Asia/Bangkok]","0.0","9.4"
"Submit Button Functionality","Input ""<valid data>"" with minimum character allowed on edit class field and didn't choose status class","SUCCESS","2022-11-13T21:42:48.073+07:00[Asia/Bangkok]","0.0","9.97"
"X Button Functionality","Input valid data and choose active class","SUCCESS","2022-11-13T21:45:28.101+07:00[Asia/Bangkok]","0.0","9.64"
"Modal of Edit Users by Admin","Input alphabet on Name field","SUCCESS","2022-11-13T17:20:23.012+07:00[Asia/Bangkok]","0.0","9.81"
"Modal of Edit Users by Admin","Input numeric on Name field","SUCCESS","2022-11-13T17:20:33.875+07:00[Asia/Bangkok]","0.0","9.81"
"Admin Home Page Title","Verify Page Title contains correct message","SUCCESS","2022-11-13T17:21:32.681+07:00[Asia/Bangkok]","0.0","6.79"
"User Login Functionality","Verify user login without email suffix","FAILURE","2022-11-13T22:29:08.077+07:00[Asia/Bangkok]","0.0","1.28"
"Mentee Home Page Title","Verify Page Title contains correct message","SUCCESS","2022-11-14T00:24:53.889+07:00[Asia/Bangkok]","0.0","9.18"
"User's Name and Role","Verify User's profile picture visibility","SUCCESS","2022-11-13T23:58:03.409+07:00[Asia/Bangkok]","0.0","5.08"
"Mentee Task Page Menu Navigation","Verify Mentee Task Page Menu Navigation and option visibility","SUCCESS","2022-11-14T00:35:58.142+07:00[Asia/Bangkok]","0.0","7.12"
"Mentee Task Page Task Bar","Verify Task Bar Title visibility","SUCCESS","2022-11-14T01:07:07.421+07:00[Asia/Bangkok]","0.0","5.37"
"Mentee Task Page Task Bar","Verify Task Title visibility","SUCCESS","2022-11-14T01:07:14.023+07:00[Asia/Bangkok]","0.0","5.84"
"Mentee Task Page Task Bar","Verify Task description visibility","SUCCESS","2022-11-14T01:07:20.973+07:00[Asia/Bangkok]","0.0","5.89"
"Mentee Task Page Task Bar","Verify Due Date visibility","SUCCESS","2022-11-14T01:07:28.046+07:00[Asia/Bangkok]","0.0","6.59"
"View More Comments and Hide Comments","Verify Hide All comment functionality","SUCCESS","2022-11-14T01:32:19.243+07:00[Asia/Bangkok]","0.0","9.34"
"Register New Member","Verify register new member with Leading Space on field name","FAILURE","2022-11-13T22:58:46.323+07:00[Asia/Bangkok]","0.0","9.83"
"Register New Member","Verify register new member with End-of-Line Characters(^M) on field name","FAILURE","2022-11-13T22:58:57.49+07:00[Asia/Bangkok]","0.0","9.44"
"Register New Member","Verify register new member with more than allowed characters ammount on field email","FAILURE","2022-11-13T22:59:19.409+07:00[Asia/Bangkok]","0.0","9.97"
"Register New Member","Verify email is unique value","FAILURE","2022-11-13T22:59:30.765+07:00[Asia/Bangkok]","0.0","8.78"
"Register New Member","Verify register new member with less than allowed characters ammount on field password","SUCCESS","2022-11-13T22:59:51.04+07:00[Asia/Bangkok]","0.0","7.15"
