"Story","Title","Result","Date","Stability","Duration (s)"
"Add Class by Admin","Verify class field is enable","SUCCESS","2022-11-12T20:39:24.863+07:00[Asia/Bangkok]","0.0","7.54"
"Add Class by Admin","Input Alphabet on Add Class Field","SUCCESS","2022-11-12T20:39:33.394+07:00[Asia/Bangkok]","0.0","16.87"
"Add Class by Admin","Input Numeric on Add Class Field","SUCCESS","2022-11-12T20:39:50.284+07:00[Asia/Bangkok]","0.0","17.18"
"Add Class by Admin","Input Special Character on Add Class Field","SUCCESS","2022-11-12T20:45:30.887+07:00[Asia/Bangkok]","0.0","20.91"
"Delete Button Functionality","Verify pop up window shown before deleting","SUCCESS","2022-11-12T20:59:12.058+07:00[Asia/Bangkok]","0.0","8.48"
"Delete Button Functionality","Verify Cancel Delete class","SUCCESS","2022-11-12T20:59:21.503+07:00[Asia/Bangkok]","0.0","6.05"
"Edit Class Functionality","Verify edit class field is enable","SUCCESS","2022-11-12T21:17:36.572+07:00[Asia/Bangkok]","0.0","8.24"
"Edit Class Functionality","Verify status class field is enable","SUCCESS","2022-11-12T21:17:45.597+07:00[Asia/Bangkok]","0.0","6.07"
"Edit Class Functionality","Verify update class status to active","SUCCESS","2022-11-12T21:18:05.343+07:00[Asia/Bangkok]","0.0","6.02"
"Edit Class Functionality","Verify X button is enable","SUCCESS","2022-11-12T21:18:12.207+07:00[Asia/Bangkok]","0.0","5.34"
"Edit Class Functionality","Input Alphabet on edit class field","SUCCESS","2022-11-12T21:18:33.273+07:00[Asia/Bangkok]","0.0","6.3"
"Submit Button Functionality","Input valid data on edit class field and choose active class","SUCCESS","2022-11-12T21:20:30.556+07:00[Asia/Bangkok]","0.0","5.59"
"Submit Button Functionality","Input valid data on edit class field and didn't choose status class","SUCCESS","2022-11-12T21:20:37.073+07:00[Asia/Bangkok]","0.0","5.72"
