"Story","Title","Result","Date","Stability","Duration (s)"
"Add Class by Admin","Verify class field is enable","SUCCESS","2022-11-12T20:39:24.863+07:00[Asia/Bangkok]","0.0","7.54"
"Add Class by Admin","Input valid data with maximum character allowed on Add Class Field","FAILURE","2022-11-12T20:40:29.863+07:00[Asia/Bangkok]","0.0","4.78"
"Add Class by Admin","Input valid data with minimum character allowed on Add Class Field","FAILURE","2022-11-12T20:44:24.519+07:00[Asia/Bangkok]","0.0","8.05"
"Delete Button Functionality","Verify pop up window shown before deleting","SUCCESS","2022-11-12T20:59:12.058+07:00[Asia/Bangkok]","0.0","8.48"
"Delete Button Functionality","Verify Cancel Delete class","SUCCESS","2022-11-12T20:59:21.503+07:00[Asia/Bangkok]","0.0","6.05"
"Delete Button Functionality","Verify deleting a class","FAILURE","2022-11-12T20:59:28.618+07:00[Asia/Bangkok]","0.0","6.37"
"Edit Class Functionality","Verify edit class field is enable","SUCCESS","2022-11-12T21:17:36.572+07:00[Asia/Bangkok]","0.0","8.24"
"Edit Class Functionality","Verify status class field is enable","SUCCESS","2022-11-12T21:17:45.597+07:00[Asia/Bangkok]","0.0","6.07"
"Edit Class Functionality","Verify update class status to active","SUCCESS","2022-11-12T21:18:05.343+07:00[Asia/Bangkok]","0.0","6.02"
"Edit Class Functionality","Verify X button is enable","SUCCESS","2022-11-12T21:18:12.207+07:00[Asia/Bangkok]","0.0","5.34"
"Edit Class Functionality","Input Numeric on edit class field","FAILURE","2022-11-12T21:18:18.36+07:00[Asia/Bangkok]","0.0","6.75"
"Edit Class Functionality","Input Special Character on edit class field","FAILURE","2022-11-12T21:18:26.119+07:00[Asia/Bangkok]","0.0","6.17"
"Edit Class Functionality","Input Alphabet on edit class field","SUCCESS","2022-11-12T21:18:33.273+07:00[Asia/Bangkok]","0.0","6.3"
"Submit Button Functionality","Input valid data on edit class field and choose active class","SUCCESS","2022-11-12T21:20:30.556+07:00[Asia/Bangkok]","0.0","5.59"
"Submit Button Functionality","Input valid data on edit class field and didn't choose status class","SUCCESS","2022-11-12T21:20:37.073+07:00[Asia/Bangkok]","0.0","5.72"
"Submit Button Functionality","Input ""<valid data>"" with minimum character allowed on edit class field and choose inactive class","FAILURE","2022-11-12T21:20:43.656+07:00[Asia/Bangkok]","0.0","6.29"
"Submit Button Functionality","Input ""<valid data>"" with minimum character allowed on edit class field and choose active class","ERROR","2022-11-12T21:20:50.818+07:00[Asia/Bangkok]","0.0","5.9"
"Submit Button Functionality","Input invalid data on edit class field and choose active class","ERROR","2022-11-12T21:22:19.332+07:00[Asia/Bangkok]","0.0","9.45"
"Submit Button Functionality","Input empty data on edit class field and choose inactive class","ERROR","2022-11-12T21:22:40.563+07:00[Asia/Bangkok]","0.0","8.79"
"Submit Button Functionality","Input empty data on edit class field and choose active class","ERROR","2022-11-12T21:22:50.082+07:00[Asia/Bangkok]","0.0","7.41"
"Submit Button Functionality","Input ""<valid data>"" with valid character allowed on edit class field and choose active class","FAILURE","2022-11-12T21:23:21.634+07:00[Asia/Bangkok]","0.0","9.58"
"X Button Functionality","Input valid data on edit class field","ERROR","2022-11-12T21:23:32.026+07:00[Asia/Bangkok]","0.0","9.79"
"X Button Functionality","Input invalid data on edit class field","ERROR","2022-11-12T21:23:42.512+07:00[Asia/Bangkok]","0.0","9.92"
"X Button Functionality","Input valid data and choose active class","ERROR","2022-11-12T21:23:53.229+07:00[Asia/Bangkok]","0.0","9.63"
"X Button Functionality","Input valid data and choose inactive class","ERROR","2022-11-12T21:24:03.535+07:00[Asia/Bangkok]","0.0","9.55"
"X Button Functionality","Input invalid data and choose active class","ERROR","2022-11-12T21:24:13.801+07:00[Asia/Bangkok]","0.0","9.51"
"X Button Functionality","Input invalid data and choose inactive class","ERROR","2022-11-12T21:24:23.984+07:00[Asia/Bangkok]","0.0","9.49"
