"Story","Title","Result","Date","Stability","Duration (s)"
"Register New Member","Verify register new member with number on field name","SUCCESS","2022-11-12T01:30:19.025+07:00[Asia/Bangkok]","0.0","15.12"
"Register New Member","Verify register new member with special character on field name","SUCCESS","2022-11-12T01:30:35.748+07:00[Asia/Bangkok]","0.0","8.21"
"Register New Member","Verify register new member with less than allowed characters ammount on field name","SUCCESS","2022-11-12T01:30:45.469+07:00[Asia/Bangkok]","0.0","9.95"
"Register New Member","Verify register new member with more than allowed characters ammount on field name","SUCCESS","2022-11-12T01:30:56.835+07:00[Asia/Bangkok]","0.0","8.72"
"Register New Member","Verify register new member with Single Space on field name","SUCCESS","2022-11-12T01:31:19.139+07:00[Asia/Bangkok]","0.0","8.56"
"Register New Member","Verify if name field is case sensitive","SUCCESS","2022-11-12T01:36:23.755+07:00[Asia/Bangkok]","0.0","11.74"
"Register New Member","Verify register new member with special character on field email","SUCCESS","2022-11-12T01:36:37.31+07:00[Asia/Bangkok]","0.0","10.43"
"Register New Member","Verify default email field placeholder","SUCCESS","2022-11-12T01:36:49.198+07:00[Asia/Bangkok]","0.0","11.81"
"Register New Member","Verify if Class field can not be typed directly","SUCCESS","2022-11-12T01:37:22.784+07:00[Asia/Bangkok]","0.0","19.55"
"Register New Member","Verify if Class is mandatory","SUCCESS","2022-11-12T01:37:43.939+07:00[Asia/Bangkok]","0.0","30.69"
"Register New Member","Verify if selected Class is correct","SUCCESS","2022-11-12T01:38:16.308+07:00[Asia/Bangkok]","0.0","25.5"
"Register New Member","Verify Class placeholder","SUCCESS","2022-11-12T01:38:43.681+07:00[Asia/Bangkok]","0.0","7.94"
"Register New Member","Verify default password field placeholder","SUCCESS","2022-11-12T01:39:05.899+07:00[Asia/Bangkok]","0.0","8.03"
