"Story","Title","Result","Date","Stability","Duration (s)"
"Mentee Task Page Menu Navigation","Verify Mentee Task Page Menu Navigation and option visibility","ERROR","2022-11-10T23:08:39.56+07:00[Asia/Bangkok]","0.0","120.22"
"Mentee Task Page Menu Navigation","Verify Mentee Task Page Menu Navigation and option functionality","ERROR","2022-11-10T23:10:40.365+07:00[Asia/Bangkok]","0.0","189.66"
"Mentee Task Page Task Bar","Verify Task Bar visibility when there is mentee due task","ERROR","2022-11-10T23:13:50.07+07:00[Asia/Bangkok]","0.0","189.62"
"Mentee Task Page Task Bar","Verify Task Bar visibility when there is no mentee due task","ERROR","2022-11-10T23:16:59.692+07:00[Asia/Bangkok]","0.0","189.62"
"Mentee Task Page Task Bar","Verify Task Bar Title visibility","ERROR","2022-11-10T23:20:09.324+07:00[Asia/Bangkok]","0.0","189.62"
"Mentee Task Page Task Bar","Verify Score visibility when not reviewed","ERROR","2022-11-10T23:29:50.954+07:00[Asia/Bangkok]","0.0","189.58"
"Mentee Task Page Task Bar","Verify Submit your task visibility","ERROR","2022-11-10T23:33:00.554+07:00[Asia/Bangkok]","0.0","189.65"
"Mentee Task Page Task Bar","Verify Submit your task functionality","ERROR","2022-11-10T23:36:10.21+07:00[Asia/Bangkok]","0.0","189.61"
"Mentee Task Page Task Bar","Verify user upload valid file format","ERROR","2022-11-10T23:39:19.826+07:00[Asia/Bangkok]","0.0","189.64"
"Mentee Task Page Task Bar","Verify user upload invalid file format","ERROR","2022-11-10T23:42:29.486+07:00[Asia/Bangkok]","0.0","189.62"
"Mentee Task Page Title","Verify all element is visible using automated element locator on Mentee Page","ERROR","2022-11-10T23:45:39.121+07:00[Asia/Bangkok]","0.0","189.64"
