"Story","Title","Result","Date","Stability","Duration (s)"
"Admin Home Page List User","Verify List User visibility when there is list users","SUCCESS","2022-11-13T16:35:37.914+07:00[Asia/Bangkok]","0.0","9.12"
"Admin Home Page List User","Verify List User visibility when there is no list users","SUCCESS","2022-11-13T16:35:48.281+07:00[Asia/Bangkok]","0.0","6.41"
"Admin Home Page List User","Verify List User Content visibility","SUCCESS","2022-11-13T16:36:04.486+07:00[Asia/Bangkok]","0.0","5.7"
"Admin Home Page List User","Verify Kebab Button visibility","SUCCESS","2022-11-13T16:36:11.146+07:00[Asia/Bangkok]","0.0","5.27"
"Admin Home Page List User","Verify Kebab Button functionality","SUCCESS","2022-11-13T16:36:17.583+07:00[Asia/Bangkok]","0.0","5.68"
"Admin Home Page List User","Verify Delete Button functionality","SUCCESS","2022-11-13T16:36:24.437+07:00[Asia/Bangkok]","0.0","6.7"
"Admin Home Page List User","Verify Cancel Delete User functionality","SUCCESS","2022-11-13T16:36:32.198+07:00[Asia/Bangkok]","0.0","6.33"
"Admin Home Page List User","Verify Delete User functionality","SUCCESS","2022-11-13T16:36:39.562+07:00[Asia/Bangkok]","0.0","6.33"
"Admin Home Page List User","Verify Edit User functionality","SUCCESS","2022-11-13T16:36:47.104+07:00[Asia/Bangkok]","0.0","6.12"
"Modal of Edit Users by Admin","Verify Modal Edit Element visibility","SUCCESS","2022-11-13T16:37:04.594+07:00[Asia/Bangkok]","0.0","5.62"
"Modal of Edit Users by Admin","Input special character on Name field","SUCCESS","2022-11-13T16:37:26.401+07:00[Asia/Bangkok]","0.0","6.4"
"Modal of Edit Users by Admin","Input Invalid Email on Email field","SUCCESS","2022-11-13T16:37:33.864+07:00[Asia/Bangkok]","0.0","6.47"
"Modal of Edit Users by Admin","Input valid Email on Email field","SUCCESS","2022-11-13T16:37:41.45+07:00[Asia/Bangkok]","0.0","6.11"
"Modal of Edit Users by Admin","Verify Dropdown Button functionality","SUCCESS","2022-11-13T16:37:48.497+07:00[Asia/Bangkok]","0.0","6.3"
"Modal of Edit Users by Admin","Input alphabet on Name field","SUCCESS","2022-11-13T17:20:23.012+07:00[Asia/Bangkok]","0.0","9.81"
"Modal of Edit Users by Admin","Input numeric on Name field","SUCCESS","2022-11-13T17:20:33.875+07:00[Asia/Bangkok]","0.0","9.81"
"Admin Home Page Title","Verify Page Title contains correct message","SUCCESS","2022-11-13T17:21:32.681+07:00[Asia/Bangkok]","0.0","6.79"
