"Story","Title","Result","Date","Stability","Duration (s)"
"Submit Button Functionality","Input valid data on edit class field and choose inactive class","SUCCESS","2022-11-13T21:28:06.585+07:00[Asia/Bangkok]","0.0","7.33"
"Submit Button Functionality","Input valid data on edit class field and choose active class","SUCCESS","2022-11-13T21:28:14.933+07:00[Asia/Bangkok]","0.0","7.57"
"Submit Button Functionality","Input valid data on edit class field and didn't choose status class","SUCCESS","2022-11-13T21:28:23.832+07:00[Asia/Bangkok]","0.0","7.23"
"Submit Button Functionality","Input ""<valid data>"" with valid character allowed on edit class field and choose active class","SUCCESS","2022-11-13T21:30:39.712+07:00[Asia/Bangkok]","0.0","8.05"
"Submit Button Functionality","Input ""<valid data>"" with minimum character allowed on edit class field and choose active class","SUCCESS","2022-11-13T21:42:37.577+07:00[Asia/Bangkok]","0.0","9.4"
"Submit Button Functionality","Input ""<valid data>"" with minimum character allowed on edit class field and didn't choose status class","SUCCESS","2022-11-13T21:42:48.073+07:00[Asia/Bangkok]","0.0","9.97"
"Submit Button Functionality","Input ""<valid data>"" with maximum character allowed on edit class field and choose active class","SUCCESS","2022-11-13T21:43:39.16+07:00[Asia/Bangkok]","0.0","54.47"
"Submit Button Functionality","Input ""<valid data>"" with minimum character allowed on edit class field and choose inactive class","SUCCESS","2022-11-13T21:55:45.733+07:00[Asia/Bangkok]","0.0","15.7"
"Submit Button Functionality","Input ""<valid data>"" with maximum character allowed on edit class field and choose inactive class","SUCCESS","2022-11-13T21:56:03.363+07:00[Asia/Bangkok]","0.0","40.68"
"Submit Button Functionality","Verify user input invalid data","SUCCESS","2022-11-13T16:39:20.886+07:00[Asia/Bangkok]","0.0","29.85"
"Submit Button Functionality","Verify user input valid data","SUCCESS","2022-11-13T17:21:01.654+07:00[Asia/Bangkok]","0.0","19.74"
