"Story","Title","Result","Date","Stability","Duration (s)"
"Delete Button Functionality","Verify Cancel Delete class","SUCCESS","2022-11-13T20:13:13.212+07:00[Asia/Bangkok]","0.0","10.91"
"Delete Button Functionality","Verify deleting a class","SUCCESS","2022-11-13T20:13:25.263+07:00[Asia/Bangkok]","0.0","10.26"
"Edit Class Functionality","Verify update class status to non_active","SUCCESS","2022-11-13T21:38:20.991+07:00[Asia/Bangkok]","0.0","12.28"
"Edit Class Functionality","Verify update class status to active","SUCCESS","2022-11-13T21:38:34.58+07:00[Asia/Bangkok]","0.0","12.68"
"Edit Class Functionality","Verify X button is enable","SUCCESS","2022-11-13T21:59:57.79+07:00[Asia/Bangkok]","0.0","10.72"
"Submit Button Functionality","Input invalid data on edit class field and choose inactive class","FAILURE","2022-11-13T21:29:30.501+07:00[Asia/Bangkok]","0.0","10.4"
"Submit Button Functionality","Input invalid data on edit class field and didn't choose status class","FAILURE","2022-11-13T21:29:53.892+07:00[Asia/Bangkok]","0.0","10.07"
"Submit Button Functionality","Input empty data on edit class field and choose inactive class","FAILURE","2022-11-13T21:30:05.7+07:00[Asia/Bangkok]","0.0","10.23"
"Submit Button Functionality","Input ""<valid data>"" with minimum character allowed on edit class field and choose inactive class","SUCCESS","2022-11-13T21:55:45.733+07:00[Asia/Bangkok]","0.0","15.7"
"X Button Functionality","Input invalid data on edit class field","SUCCESS","2022-11-13T21:45:14.868+07:00[Asia/Bangkok]","0.0","12.18"
"X Button Functionality","Input invalid data and choose active class","SUCCESS","2022-11-13T21:46:10.734+07:00[Asia/Bangkok]","0.0","26.0"
"X Button Functionality","Input invalid data and choose inactive class","SUCCESS","2022-11-13T21:46:37.742+07:00[Asia/Bangkok]","0.0","18.84"
"Admin Home Page List User","Verify List User Title visibility","SUCCESS","2022-11-13T17:20:06.726+07:00[Asia/Bangkok]","0.0","13.63"
"Modal of Edit Users by Admin","Verify Dropdown Content functionality","SUCCESS","2022-11-13T17:29:34.257+07:00[Asia/Bangkok]","0.0","20.12"
"Submit Button Functionality","Verify user input valid data","SUCCESS","2022-11-13T17:21:01.654+07:00[Asia/Bangkok]","0.0","19.74"
"Admin Home Page Element Visibility and Locator","Verify all element is visible using automated element locator","SUCCESS","2022-11-13T17:21:22.446+07:00[Asia/Bangkok]","0.0","10.22"
"User Login Functionality","Verify user login with multiple tap on login button","SUCCESS","2022-11-13T22:29:09.411+07:00[Asia/Bangkok]","0.0","15.39"
"User Login Functionality","Verify user login at the same times with different browser","FAILURE","2022-11-13T23:30:19.224+07:00[Asia/Bangkok]","0.0","16.6"
"User Login Functionality","Verify accessing webapp after close without logout","FAILURE","2022-11-13T23:30:35.871+07:00[Asia/Bangkok]","0.0","15.38"
"Mentee Home Page Menu Navigation","Verify Mentee Home Page Menu Navigation and option visibility","SUCCESS","2022-11-14T00:20:50.479+07:00[Asia/Bangkok]","0.0","22.54"
"Mentee Home Page Menu Navigation","Verify Mentee Home Page Menu Navigation and option functionality","SUCCESS","2022-11-14T00:21:14.21+07:00[Asia/Bangkok]","0.0","11.85"
"User's Name and Role","Verify User's role visibility","SUCCESS","2022-11-13T23:57:52.117+07:00[Asia/Bangkok]","0.0","10.49"
"User's Name and Role","Verify User's name and role font size","SUCCESS","2022-11-13T23:58:09.293+07:00[Asia/Bangkok]","0.0","10.2"
"Mentee Task Page Task Bar","Verify Task Bar visibility when there is mentee due task","SUCCESS","2022-11-14T01:06:46.897+07:00[Asia/Bangkok]","0.0","10.24"
"Mentee Task Page Task Bar","Verify Task Bar visibility when there is no mentee due task","FAILURE","2022-11-14T01:06:57.166+07:00[Asia/Bangkok]","0.0","10.24"
"Mentee Task Page Task Bar","Verify Task file visibility","SUCCESS","2022-11-14T01:07:35.832+07:00[Asia/Bangkok]","0.0","10.23"
"Mentee Task Page Task Bar","Verify Task file redirect functionality","SUCCESS","2022-11-14T01:07:46.098+07:00[Asia/Bangkok]","0.0","10.2"
"Mentee Task Page Task Bar","Verify Score visibility when reviewed","SUCCESS","2022-11-14T01:07:56.312+07:00[Asia/Bangkok]","0.0","10.17"
"Mentee Task Page Task Bar","Verify Score visibility when not reviewed","SUCCESS","2022-11-14T01:08:06.498+07:00[Asia/Bangkok]","0.0","10.2"
"Mentee Task Page Task Bar","Verify Submit your task visibility","SUCCESS","2022-11-14T01:08:16.715+07:00[Asia/Bangkok]","0.0","10.23"
"Mentee Task Page Task Bar","Verify Submit your task functionality","SUCCESS","2022-11-14T01:08:26.976+07:00[Asia/Bangkok]","0.0","10.18"
"Mentee Task Page Task Bar","Verify user upload valid file format","SUCCESS","2022-11-14T01:08:37.173+07:00[Asia/Bangkok]","0.0","10.25"
"Mentee Task Page Task Bar","Verify user upload invalid file format","SUCCESS","2022-11-14T01:08:47.444+07:00[Asia/Bangkok]","0.0","10.22"
"Mentee Task Page Task Bar","Verify Task Bar Title font size","SUCCESS","2022-11-14T01:08:57.675+07:00[Asia/Bangkok]","0.0","10.23"
"Mentee Task Page Task Bar","Verify Task Title Font size and location","SUCCESS","2022-11-14T01:09:07.921+07:00[Asia/Bangkok]","0.0","10.25"
"Mentee Task Page Task Bar","Verify Task description Font size and location","SUCCESS","2022-11-14T01:09:18.186+07:00[Asia/Bangkok]","0.0","10.23"
"Mentee Task Page Task Bar","Verify Due date Font config and location","SUCCESS","2022-11-14T01:09:28.434+07:00[Asia/Bangkok]","0.0","10.25"
"Mentee Task Page Task Bar","Verify Task file location","SUCCESS","2022-11-14T01:09:38.698+07:00[Asia/Bangkok]","0.0","10.23"
"Mentee Task Page Task Bar","Verify Score location","SUCCESS","2022-11-14T01:09:48.944+07:00[Asia/Bangkok]","0.0","10.25"
"Mentee Task Page Title","Verify all element is visible using automated element locator on Mentee Page","SUCCESS","2022-11-14T01:16:32.38+07:00[Asia/Bangkok]","0.0","10.52"
"View More Comments and Hide Comments","Verify View All comment functionality","SUCCESS","2022-11-14T01:35:07.88+07:00[Asia/Bangkok]","0.0","10.52"
"Register New Member","Verify register new member with Common Delimiter on field name","FAILURE","2022-11-13T22:58:29.556+07:00[Asia/Bangkok]","0.0","15.21"
"Register New Member","Verify register new member with Emoji on field name","FAILURE","2022-11-13T22:59:08.027+07:00[Asia/Bangkok]","0.0","10.07"
"Register New Member","Verify if Role field can not be typed directly","SUCCESS","2022-11-13T22:59:40.815+07:00[Asia/Bangkok]","0.0","10.2"
"Register New Member","Verify password is masked when eye icon is not clicked","FAILURE","2022-11-13T23:00:05.611+07:00[Asia/Bangkok]","0.0","10.26"
"Register New Member","Verify password is masked when eye icon is clicked","FAILURE","2022-11-13T23:00:15.901+07:00[Asia/Bangkok]","0.0","10.21"
"Register New Member","Verify register new member without special char on field password","SUCCESS","2022-11-13T23:05:57.285+07:00[Asia/Bangkok]","0.0","11.24"
