"Story","Title","Result","Date","Stability","Duration (s)"
"Edit Class Functionality","Verify update class status to non_active","ERROR","2022-11-12T21:17:52.557+07:00[Asia/Bangkok]","0.0","11.88"
"Submit Button Functionality","Input valid data on edit class field and choose inactive class","ERROR","2022-11-12T21:20:16.374+07:00[Asia/Bangkok]","0.0","13.39"
"Submit Button Functionality","Input ""<valid data>"" with minimum character allowed on edit class field and choose active class","ERROR","2022-11-12T21:20:50.818+07:00[Asia/Bangkok]","0.0","5.9"
"Submit Button Functionality","Input ""<valid data>"" with minimum character allowed on edit class field and didn't choose status class","ERROR","2022-11-12T21:20:57.514+07:00[Asia/Bangkok]","0.0","13.32"
"Submit Button Functionality","Input invalid data on edit class field and choose inactive class","ERROR","2022-11-12T21:22:08.199+07:00[Asia/Bangkok]","0.0","10.23"
"Submit Button Functionality","Input invalid data on edit class field and choose active class","ERROR","2022-11-12T21:22:19.332+07:00[Asia/Bangkok]","0.0","9.45"
"Submit Button Functionality","Input invalid data on edit class field and didn't choose status class","ERROR","2022-11-12T21:22:29.655+07:00[Asia/Bangkok]","0.0","10.22"
"Submit Button Functionality","Input empty data on edit class field and choose inactive class","ERROR","2022-11-12T21:22:40.563+07:00[Asia/Bangkok]","0.0","8.79"
"Submit Button Functionality","Input empty data on edit class field and choose active class","ERROR","2022-11-12T21:22:50.082+07:00[Asia/Bangkok]","0.0","7.41"
"Submit Button Functionality","Input empty data on edit class field and didn't choose active class","ERROR","2022-11-12T21:22:58.188+07:00[Asia/Bangkok]","0.0","22.68"
"X Button Functionality","Input valid data on edit class field","ERROR","2022-11-12T21:23:32.026+07:00[Asia/Bangkok]","0.0","9.79"
"X Button Functionality","Input invalid data on edit class field","ERROR","2022-11-12T21:23:42.512+07:00[Asia/Bangkok]","0.0","9.92"
"X Button Functionality","Input valid data and choose active class","ERROR","2022-11-12T21:23:53.229+07:00[Asia/Bangkok]","0.0","9.63"
"X Button Functionality","Input valid data and choose inactive class","ERROR","2022-11-12T21:24:03.535+07:00[Asia/Bangkok]","0.0","9.55"
"X Button Functionality","Input invalid data and choose active class","ERROR","2022-11-12T21:24:13.801+07:00[Asia/Bangkok]","0.0","9.51"
"X Button Functionality","Input invalid data and choose inactive class","ERROR","2022-11-12T21:24:23.984+07:00[Asia/Bangkok]","0.0","9.49"
