"Story","Title","Result","Date","Stability","Duration (s)"
"Mentee Profile Page's Edit Button","Verify Edit Button location","SUCCESS","2022-11-13T15:10:56.255+07:00[Asia/Bangkok]","0.0","0.02"
"Mentee Profile Page's Profile Picture","Verify User Profile picture location","SUCCESS","2022-11-13T15:10:56.291+07:00[Asia/Bangkok]","0.0","0.01"
"Mentee Profile Page's Profile Picture","Verify User Profile picture not interactable","SUCCESS","2022-11-13T15:10:56.322+07:00[Asia/Bangkok]","0.0","0.02"
"Mentee Profile Page's Profile Picture","Verify mentee profile detail location","SUCCESS","2022-11-13T15:10:56.357+07:00[Asia/Bangkok]","0.0","0.01"
"Mentee Profile Page Page Title","Verify Page Title location on Tasks Submission Modal","SUCCESS","2022-11-13T15:10:56.4+07:00[Asia/Bangkok]","0.0","0.02"
"Mentee Profile Page Page Title","Verify Page Title has biggest font on Tasks Submission Modal","SUCCESS","2022-11-13T15:10:56.43+07:00[Asia/Bangkok]","0.0","0.02"
"Mentee Profile Page Page Title","Verify Page Title location on Mentee Profile Page","SUCCESS","2022-11-13T15:10:56.471+07:00[Asia/Bangkok]","0.0","0.02"
"Mentee Profile Page Page Title","Verify Page Title has biggest font on Mentee Profile Page","SUCCESS","2022-11-13T15:10:56.498+07:00[Asia/Bangkok]","0.0","0.04"
"Mentee Task Page Menu Navigation","Verify Mentee Task Page Menu Navigation and option visibility","SUCCESS","2022-11-14T00:35:58.142+07:00[Asia/Bangkok]","0.0","7.12"
"Mentee Task Page Menu Navigation","Verify Mentee Task Page Menu Navigation and option functionality","SUCCESS","2022-11-14T00:36:06.319+07:00[Asia/Bangkok]","0.0","32.78"
