"Story","Title","Result","Date","Stability","Duration (s)"
"Login Page Element and Interaction","Verify all element visible with automated element inspector","SUCCESS","2022-11-10T21:54:35.808+07:00[Asia/Bangkok]","0.0","4.69"
"Login Page Element and Interaction","Verify all element visibility after reloading with automated element inspector","SUCCESS","2022-11-10T21:54:41.491+07:00[Asia/Bangkok]","0.0","6.12"
"Login Page Element and Interaction","Verify login button and contact admin link is interactable","SUCCESS","2022-11-10T21:55:41.719+07:00[Asia/Bangkok]","0.0","23.53"
"User Login Functionality","Verify user login with valid registered credentials","SUCCESS","2022-11-11T02:22:03.057+07:00[Asia/Bangkok]","0.0","19.46"
"User Login Functionality","Verify user login with unregistered credential","SUCCESS","2022-11-11T02:22:22.525+07:00[Asia/Bangkok]","0.0","4.2"
"User Login Functionality","Verify user login without email","SUCCESS","2022-11-11T02:22:27.443+07:00[Asia/Bangkok]","0.0","4.5"
"User Login Functionality","Verify user login without password","SUCCESS","2022-11-11T02:22:32.682+07:00[Asia/Bangkok]","0.0","4.05"
"User Login Functionality","Verify user login without email and password","SUCCESS","2022-11-11T02:22:37.565+07:00[Asia/Bangkok]","0.0","5.2"
"User Login Functionality","Verify max length allowed text input on password field","SUCCESS","2022-11-11T02:23:29.927+07:00[Asia/Bangkok]","0.0","8.62"
"User Login Functionality","Verify whether password field is case sensitive","SUCCESS","2022-11-11T02:23:52.507+07:00[Asia/Bangkok]","0.0","6.7"
"User Login Functionality","Verify max length allowed text input on email field","SUCCESS","2022-11-11T02:23:59.867+07:00[Asia/Bangkok]","0.0","4.39"
"User Login Functionality","Verify user login with copy pasted email","SUCCESS","2022-11-11T02:24:04.905+07:00[Asia/Bangkok]","0.0","6.32"
"User Login Functionality","Verify user login when other login session is active","FAILURE","2022-11-13T15:50:36.894+07:00[Asia/Bangkok]","0.0","1.28"
"User Login Functionality","Verify user login without email suffix","FAILURE","2022-11-13T22:29:08.077+07:00[Asia/Bangkok]","0.0","1.28"
