"Story","Title","Result","Date","Stability","Duration (s)"
"Add Class by Admin","Verify class field is enable","SUCCESS","2022-11-13T17:38:15.061+07:00[Asia/Bangkok]","0.0","13.07"
"Delete Button Functionality","Verify Cancel Delete class","SUCCESS","2022-11-13T20:13:13.212+07:00[Asia/Bangkok]","0.0","10.91"
"Delete Button Functionality","Verify deleting a class","SUCCESS","2022-11-13T20:13:25.263+07:00[Asia/Bangkok]","0.0","10.26"
"Edit Class Functionality","Verify update class status to non_active","SUCCESS","2022-11-13T21:38:20.991+07:00[Asia/Bangkok]","0.0","12.28"
"Edit Class Functionality","Verify update class status to active","SUCCESS","2022-11-13T21:38:34.58+07:00[Asia/Bangkok]","0.0","12.68"
"Edit Class Functionality","Verify X button is enable","SUCCESS","2022-11-13T21:59:57.79+07:00[Asia/Bangkok]","0.0","10.72"
"Submit Button Functionality","Input invalid data on edit class field and choose inactive class","FAILURE","2022-11-13T21:29:30.501+07:00[Asia/Bangkok]","0.0","10.4"
"Submit Button Functionality","Input invalid data on edit class field and didn't choose status class","FAILURE","2022-11-13T21:29:53.892+07:00[Asia/Bangkok]","0.0","10.07"
"Submit Button Functionality","Input empty data on edit class field and choose inactive class","FAILURE","2022-11-13T21:30:05.7+07:00[Asia/Bangkok]","0.0","10.23"
"Submit Button Functionality","Input ""<valid data>"" with minimum character allowed on edit class field and choose inactive class","SUCCESS","2022-11-13T21:55:45.733+07:00[Asia/Bangkok]","0.0","15.7"
"X Button Functionality","Input invalid data on edit class field","SUCCESS","2022-11-13T21:45:14.868+07:00[Asia/Bangkok]","0.0","12.18"
"X Button Functionality","Input invalid data and choose active class","SUCCESS","2022-11-13T21:46:10.734+07:00[Asia/Bangkok]","0.0","26.0"
"X Button Functionality","Input invalid data and choose inactive class","SUCCESS","2022-11-13T21:46:37.742+07:00[Asia/Bangkok]","0.0","18.84"
