"Story","Title","Result","Date","Stability","Duration (s)"
"Delete Button Functionality","Verify pop up window shown before deleting","SUCCESS","2022-11-13T20:12:26.35+07:00[Asia/Bangkok]","0.0","45.81"
"Edit Class Functionality","Input Special Character on edit class field","SUCCESS","2022-11-13T21:39:46.942+07:00[Asia/Bangkok]","0.0","34.83"
"Submit Button Functionality","Input ""<valid data>"" with maximum character allowed on edit class field and choose active class","SUCCESS","2022-11-13T21:43:39.16+07:00[Asia/Bangkok]","0.0","54.47"
"Submit Button Functionality","Input ""<valid data>"" with maximum character allowed on edit class field and choose inactive class","SUCCESS","2022-11-13T21:56:03.363+07:00[Asia/Bangkok]","0.0","40.68"
"X Button Functionality","Input valid data on edit class field","SUCCESS","2022-11-13T21:44:34.755+07:00[Asia/Bangkok]","0.0","39.2"
"X Button Functionality","Input valid data and choose inactive class","SUCCESS","2022-11-13T21:45:38.842+07:00[Asia/Bangkok]","0.0","30.83"
"Admin Home Page Menu Navigation","Verify Admin Home Page Menu Navigation and option visibility","SUCCESS","2022-11-13T16:40:13.468+07:00[Asia/Bangkok]","0.0","40.25"
"Admin Home Page Menu Navigation","Verify Admin Home Page Menu Navigation and option functionality","SUCCESS","2022-11-13T16:40:54.641+07:00[Asia/Bangkok]","0.0","34.54"
"Login Page Element and Interaction","Verify email and password field is interactable","SUCCESS","2022-11-10T21:54:48.624+07:00[Asia/Bangkok]","0.0","53.09"
"Login Page Element and Interaction","Verify expired message when press BACK button","SUCCESS","2022-11-10T21:58:58.576+07:00[Asia/Bangkok]","0.0","53.52"
"User Login Functionality","Verify minimal length of allowed password input","SUCCESS","2022-11-11T02:22:51.603+07:00[Asia/Bangkok]","0.0","37.5"
"Mentee Home Page Task Bar","Verify Task Title visibility","SUCCESS","2022-11-10T22:52:14.811+07:00[Asia/Bangkok]","0.0","45.38"
"View All Task Button","Verify view all task button functionality","SUCCESS","2022-11-10T23:05:24.292+07:00[Asia/Bangkok]","0.0","48.55"
"Element Visibility and Locator mentee task","Verify all element is visible using automated element locator on Mentee Page","SUCCESS","2022-11-14T03:05:47.143+07:00[Asia/Bangkok]","0.0","56.28"
"Mentee Task Page Menu Navigation","Verify Mentee Task Page Menu Navigation and option functionality","SUCCESS","2022-11-14T00:36:06.319+07:00[Asia/Bangkok]","0.0","32.78"
"Mentor Home Page Menu Navigation","Verify Mentor Home Page Menu Navigation and option visibility","SUCCESS","2022-11-14T02:01:27.032+07:00[Asia/Bangkok]","0.0","39.54"
"Register New Member","Verify register new member with valid email format","SUCCESS","2022-11-11T22:52:11.893+07:00[Asia/Bangkok]","0.0","37.93"
"Register New Member","Verify register new member with already registered email","SUCCESS","2022-11-11T22:52:50.578+07:00[Asia/Bangkok]","0.0","44.11"
"Register New Member","Verify if Class is mandatory","SUCCESS","2022-11-12T01:37:43.939+07:00[Asia/Bangkok]","0.0","30.69"
"Register New Member","Verify pop up message when failed register new users","SUCCESS","2022-11-12T02:09:58.661+07:00[Asia/Bangkok]","0.0","59.27"
