"Story","Title","Result","Date","Stability","Duration (s)"
"User Login Functionality","Verify user login with valid registered credentials","SUCCESS","2022-11-11T02:22:03.057+07:00[Asia/Bangkok]","0.0","19.46"
"User Login Functionality","Verify user login with unregistered credential","SUCCESS","2022-11-11T02:22:22.525+07:00[Asia/Bangkok]","0.0","4.2"
"User Login Functionality","Verify user login without email","SUCCESS","2022-11-11T02:22:27.443+07:00[Asia/Bangkok]","0.0","4.5"
"User Login Functionality","Verify user login without password","SUCCESS","2022-11-11T02:22:32.682+07:00[Asia/Bangkok]","0.0","4.05"
"User Login Functionality","Verify user login without email and password","SUCCESS","2022-11-11T02:22:37.565+07:00[Asia/Bangkok]","0.0","5.2"
"User Login Functionality","Verify minimal length of allowed password input","SUCCESS","2022-11-11T02:22:51.603+07:00[Asia/Bangkok]","0.0","37.5"
"User Login Functionality","Verify max length allowed text input on password field","SUCCESS","2022-11-11T02:23:29.927+07:00[Asia/Bangkok]","0.0","8.62"
"User Login Functionality","Verify whether email field is case sensitive","SUCCESS","2022-11-11T02:23:39.192+07:00[Asia/Bangkok]","0.0","12.66"
"User Login Functionality","Verify whether password field is case sensitive","SUCCESS","2022-11-11T02:23:52.507+07:00[Asia/Bangkok]","0.0","6.7"
"User Login Functionality","Verify max length allowed text input on email field","SUCCESS","2022-11-11T02:23:59.867+07:00[Asia/Bangkok]","0.0","4.39"
"User Login Functionality","Verify user login with copy pasted email","SUCCESS","2022-11-11T02:24:04.905+07:00[Asia/Bangkok]","0.0","6.32"
"User Login Functionality","Verify user login with copy pasted password","SUCCESS","2022-11-11T02:24:11.891+07:00[Asia/Bangkok]","0.0","10.33"
"User Login Functionality","Verify user login but network disconnected when request sent","SUCCESS","2022-11-13T15:09:13.678+07:00[Asia/Bangkok]","0.0","0.03"
"User Login Functionality","Verify accessing webapp trough browser typing directly","SUCCESS","2022-11-13T15:09:13.735+07:00[Asia/Bangkok]","0.0","0.03"
"User Login Functionality","Verify accessing webapp after close and logout","SUCCESS","2022-11-13T15:50:38.242+07:00[Asia/Bangkok]","0.0","0.07"
"User Login Functionality","Verify critical element visibility when windows resized","SUCCESS","2022-11-13T15:50:38.459+07:00[Asia/Bangkok]","0.0","0.04"
"User Login Functionality","Verify user login with multiple tap on login button","SUCCESS","2022-11-13T22:29:09.411+07:00[Asia/Bangkok]","0.0","15.39"
"User Login Functionality","Verify data inputted was cleaned while page refreshed","SUCCESS","2022-11-13T22:29:24.85+07:00[Asia/Bangkok]","0.0","0.06"
