"Story","Title","Result","Date","Stability","Duration (s)"
"Admin Home Page List User","Verify Scroll bar visibility","SUCCESS","2022-11-13T16:36:54.407+07:00[Asia/Bangkok]","0.0","10.17"
"Admin Home Page List User","Verify List User Title visibility","SUCCESS","2022-11-13T17:20:06.726+07:00[Asia/Bangkok]","0.0","13.63"
"Modal of Edit Users by Admin","Verify Name field is enable","SUCCESS","2022-11-13T16:38:05.288+07:00[Asia/Bangkok]","0.0","10.26"
"Modal of Edit Users by Admin","Verify Email field is enable","SUCCESS","2022-11-13T16:38:15.566+07:00[Asia/Bangkok]","0.0","10.21"
"Modal of Edit Users by Admin","Verify Password field is enable","SUCCESS","2022-11-13T16:38:25.797+07:00[Asia/Bangkok]","0.0","10.26"
"Modal of Edit Users by Admin","Verify Class field is enable","SUCCESS","2022-11-13T16:38:36.082+07:00[Asia/Bangkok]","0.0","10.21"
"Modal of Edit Users by Admin","Verify Dropdown Content functionality","SUCCESS","2022-11-13T17:29:34.257+07:00[Asia/Bangkok]","0.0","20.12"
"Submit Button Functionality","Verify user input invalid data","SUCCESS","2022-11-13T16:39:20.886+07:00[Asia/Bangkok]","0.0","29.85"
"Submit Button Functionality","Verify user input valid data","SUCCESS","2022-11-13T17:21:01.654+07:00[Asia/Bangkok]","0.0","19.74"
"Admin Home Page Element Visibility and Locator","Verify all element is visible using automated element locator","SUCCESS","2022-11-13T17:21:22.446+07:00[Asia/Bangkok]","0.0","10.22"
